DIVIPOLA;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;FASE;METODO;COORD;INICIO
73;TOLIMA;73483;NATAGAIMA;2;BARRIDO;TOLIMA;SI
17;CALDAS;17486;NEIRA;2;BARRIDO;CALDAS;SI
41;HUILA;41001;NEIVA;2;BARRIDO;HUILA;SI
15;BOYACÁ;15491;NOBSA;2;BARRIDO;BOYACÁ;SI
17;CALDAS;17495;NORCASIA;2;BARRIDO;CALDAS;SI
47;MAGDALENA;47460;NUEVA GRANADA;2;BARRIDO;MAGDALENA;SI
15;BOYACÁ;15494;NUEVO COLÓN;2;BARRIDO;BOYACÁ;SI
85;CASANARE;85225;NUNCHÍA;2;BARRIDO;CASANARE;SI
15;BOYACÁ;15500;OICATÁ;2;BARRIDO;BOYACÁ;SI
41;HUILA;41503;OPORAPA;2;BARRIDO;HUILA;SI
86;PUTUMAYO;86320;ORITO;2;BARRIDO;PUTUMAYO;SI
85;CASANARE;85230;OROCUÉ;2;BARRIDO;CASANARE;SI
73;TOLIMA;73504;ORTEGA;2;BARRIDO;TOLIMA;SI
52;NARIÑO;52506;OSPINA;2;BARRIDO;NARIÑO;SI
15;BOYACÁ;15507;OTANCHE;2;BARRIDO;BOYACÁ;SI
70;SUCRE;70508;OVEJAS;2;BARRIDO;SUCRE;SI
15;BOYACÁ;15511;PACHAVITA;2;BARRIDO;BOYACÁ;SI
17;CALDAS;17513;PÁCORA;2;BARRIDO;CALDAS;SI
19;CAUCA;19513;PADILLA;2;BARRIDO;CAUCA;SI
15;BOYACÁ;15514;PÁEZ;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19517;PÁEZ;2;BARRIDO;CAUCA;NO
41;HUILA;41518;PAICOL;2;BARRIDO;HUILA;SI
20;CESAR;20517;PAILITAS;2;BARRIDO;CESAR;SI
15;BOYACÁ;15516;PAIPA;2;BARRIDO;BOYACÁ;SI
85;BOYACÁ;15518;PAJARITO;2;BARRIDO;CASANARE;SI
41;HUILA;41524;PALERMO;2;BARRIDO;HUILA;SI
17;CALDAS;17524;PALESTINA;2;BARRIDO;CALDAS;SI
41;HUILA;41530;PALESTINA;2;BARRIDO;HUILA;SI
70;SUCRE;70523;PALMITO;2;BARRIDO;SUCRE;SI
73;TOLIMA;73520;PALOCABILDO;2;BARRIDO;TOLIMA;SI
15;BOYACÁ;15522;PANQUEBA;2;BARRIDO;BOYACÁ;SI
50;CUNDINAMARCA;25530;PARATEBUENO;2;BARRIDO;META;SI
52;NARIÑO;52001;PASTO;2;BARRIDO;NARIÑO;SI
19;CAUCA;19532;PATÍA;2;BARRIDO;CAUCA;SI
15;BOYACÁ;15531;PAUNA;2;BARRIDO;BOYACÁ;SI
85;BOYACÁ;15533;PAYA;2;BARRIDO;CASANARE;SI
85;CASANARE;85250;PAZ DE ARIPORO;2;MIXTO;CASANARE;SI
15;BOYACÁ;15537;PAZ DE RÍO;2;BARRIDO;BOYACÁ;SI
47;MAGDALENA;47541;PEDRAZA;2;BARRIDO;MAGDALENA;NO
20;CESAR;20550;PELAYA;2;BARRIDO;CESAR;SI
17;CALDAS;17541;PENSILVANIA;2;BARRIDO;CALDAS;SI
