ID_DEPTO;DEPARTAMENTO;ID_MPIO;MUNICIPIO;MÉTODO;FASE;"TRANSMITIDAS
A";"NOTIFICADAS
B";% TRANSMISIÓN (A/B);REPORTE INICIO DE OPERACIÓN CONAL 30/05;;;
05;ANTIOQUIA;5411;LIBORINA;BARRIDO;2;1257;1642;76,55%;SI;;;
15;BOYACÁ;15047;AQUITANIA;BARRIDO;3;1686;2202;76,57%;SI;;;
05;ANTIOQUIA;5679;SANTA BÁRBARA;BARRIDO;2;2658;3471;76,58%;SI;;;
05;ANTIOQUIA;5861;VENECIA;BARRIDO;2;1793;2340;76,62%;SI;;;
54;NORTE DE SANTANDER;54172;CHINÁCOTA;BARRIDO;2;1771;2311;76,63%;SI;;;
25;CUNDINAMARCA;25281;FOSCA;BARRIDO;2;628;818;76,77%;SI;;;
05;ANTIOQUIA;5145;CARAMANTA;BARRIDO;2;863;1124;76,78%;SI;;;
15;BOYACÁ;15131;CALDAS;BARRIDO;3;424;552;76,81%;SI;;;
15;BOYACÁ;15442;MARIPÍ;BARRIDO;3;594;773;76,84%;SI;;;
17;CALDAS;17524;PALESTINA;BARRIDO;3;877;1139;77,00%;SI;;;
68;SANTANDER;68780;SURATÁ;BARRIDO;2;432;561;77,01%;SI;;;
15;BOYACÁ;15763;SOTAQUIRÁ;BARRIDO;3;735;954;77,04%;SI;;;
19;CAUCA;19693;SAN SEBASTIÁN;BARRIDO;3;1393;1808;77,05%;SI;;;
25;CUNDINAMARCA;25297;GACHETÁ;BARRIDO;2;1147;1487;77,14%;SI;;;
15;BOYACÁ;15790;TASCO;BARRIDO;3;685;888;77,14%;SI;;;
15;BOYACÁ;15696;SANTA SOFÍA;BARRIDO;3;400;517;77,37%;SI;;;
25;CUNDINAMARCA;25402;LA VEGA;BARRIDO;2;483;624;77,40%;SI;;;
15;BOYACÁ;15332;GÜICÁN;MIXTO;3;707;913;77,44%;SI;;;
15;BOYACÁ;15244;EL COCUY;BARRIDO;3;872;1123;77,65%;SI;;;
25;CUNDINAMARCA;25594;QUETAME;BARRIDO;2;486;625;77,76%;SI;;;
25;CUNDINAMARCA;25807;TIBIRITA;BARRIDO;2;259;333;77,78%;SI;;;
54;NORTE DE SANTANDER;54377;LABATECA;BARRIDO;2;650;835;77,84%;SI;;;
73;TOLIMA;73148;CARMEN DE APICALÁ;BARRIDO;3;834;1071;77,87%;SI;;;
15;BOYACÁ;15774;SUSACÓN;BARRIDO;3;545;699;77,97%;SI;;;
18;CAQUETÁ;18029;ALBANIA;BARRIDO;3;462;592;78,04%;SI;;;
68;SANTANDER;68298;GAMBITA;BARRIDO;2;139;178;78,09%;SI;;;
54;NORTE DE SANTANDER;54673;SAN CAYETANO;BARRIDO;2;1025;1311;78,18%;SI;;;
73;TOLIMA;73449;MELGAR;BARRIDO;3;2739;3503;78,19%;SI;;;
73;TOLIMA;73854;VALLE DE SAN JUAN;BARRIDO;3;581;743;78,20%;SI;;;
85;CASANARE;85315;SÁCAMA;MIXTO;3;355;453;78,37%;SI;;;
68;SANTANDER;68464;MOGOTES;BARRIDO;2;1829;2333;78,40%;SI;;;
05;ANTIOQUIA;5483;NARIÑO;BARRIDO;2;1243;1585;78,42%;SI;;;
17;CALDAS;17653;SALAMINA;BARRIDO;3;870;1109;78,45%;SI;;;
68;SANTANDER;68020;ALBANIA;BARRIDO;2;522;665;78,50%;SI;;;
15;BOYACÁ;15466;MONGUÍ;BARRIDO;3;511;650;78,62%;SI;;;
68;SANTANDER;68318;GUACA;BARRIDO;2;698;886;78,78%;SI;;;
05;ANTIOQUIA;5036;ANGELÓPOLIS;BARRIDO;2;187;237;78,90%;SI;;;
68;SANTANDER;68498;OCAMONTE;BARRIDO;2;693;878;78,93%;SI;;;
54;NORTE DE SANTANDER;54174;CHITAGÁ;MIXTO;2;1008;1277;78,94%;SI;;;
66;RISARALDA;66045;APÍA;BARRIDO;3;1316;1667;78,94%;SI;;;
68;SANTANDER;68296;GALÁN;BARRIDO;2;593;751;78,96%;SI;;;
05;ANTIOQUIA;5856;VALPARAÍSO;BARRIDO;2;1381;1747;79,05%;SI;;;
17;CALDAS;17541;PENSILVANIA;BARRIDO;3;898;1135;79,12%;SI;;;
15;BOYACÁ;15224;CUCAITA;BARRIDO;3;570;720;79,17%;SI;;;
76;VALLE DEL CAUCA;76377;LA CUMBRE;BARRIDO;2;456;576;79,17%;SI;;;
25;CUNDINAMARCA;25183;CHOCONTÁ;BARRIDO;2;1159;1463;79,22%;SI;;;
15;BOYACÁ;15646;SAMACÁ;BARRIDO;3;1262;1593;79,22%;SI;;;
05;ANTIOQUIA;5093;BETULIA;BARRIDO;2;2049;2585;79,26%;SI;;;
68;SANTANDER;68320;GUADALUPE;BARRIDO;2;287;362;79,28%;SI;;;
05;ANTIOQUIA;5667;SAN RAFAEL;BARRIDO;2;1907;2405;79,29%;SI;;;
25;CUNDINAMARCA;25580;PULÍ;BARRIDO;2;346;436;79,36%;SI;;;
73;TOLIMA;73024;ALPUJARRA;BARRIDO;3;527;664;79,37%;SI;;;
15;BOYACÁ;15212;COPER;BARRIDO;3;335;422;79,38%;SI;;;
25;CUNDINAMARCA;25326;GUATAVITA;BARRIDO;2;603;759;79,45%;SI;;;
05;ANTIOQUIA;5425;MACEO;BARRIDO;2;1108;1394;79,48%;SI;;;
05;ANTIOQUIA;5002;ABEJORRAL;BARRIDO;2;2007;2523;79,55%;SI;;;
05;ANTIOQUIA;5125;CAICEDO;BARRIDO;2;825;1037;79,56%;SI;;;
15;BOYACÁ;15835;TURMEQUÉ;BARRIDO;3;296;372;79,57%;SI;;;
68;SANTANDER;68217;COROMORO;BARRIDO;2;223;280;79,64%;SI;;;
15;BOYACÁ;15755;SOCOTÁ;BARRIDO;3;644;808;79,70%;SI;;;
25;CUNDINAMARCA;25386;LA MESA;BARRIDO;2;1639;2055;79,76%;SI;;;
18;CAQUETÁ;18460;MILÁN;BARRIDO;3;392;491;79,84%;SI;;;
15;BOYACÁ;15299;GARAGOA;BARRIDO;3;1382;1731;79,84%;SI;;;
19;CAUCA;19397;LA VEGA;BARRIDO;3;1119;1400;79,93%;SI;;;
05;ANTIOQUIA;5321;GUATAPE;BARRIDO;2;1729;2162;79,97%;SI;;;
15;BOYACÁ;15723;SATIVASUR;BARRIDO;3;192;240;80,00%;SI;;;
05;ANTIOQUIA;5040;ANORÍ;BARRIDO;2;1047;1308;80,05%;SI;;;
05;ANTIOQUIA;5055;ARGELIA;BARRIDO;2;1050;1311;80,09%;SI;;;
15;BOYACÁ;15223;CUBARÁ;MIXTO;3;367;458;80,13%;SI;;;
05;ANTIOQUIA;5670;SAN ROQUE;BARRIDO;2;3184;3966;80,28%;SI;;;
41;HUILA;41244;ELÍAS;BARRIDO;3;666;828;80,43%;SI;;;
68;SANTANDER;68079;BARICHARA;BARRIDO;2;939;1167;80,46%;SI;;;
68;SANTANDER;68368;JESÚS MARÍA;BARRIDO;2;519;645;80,47%;SI;;;
68;SANTANDER;68092;BETULIA;BARRIDO;2;194;241;80,50%;SI;;;
15;BOYACÁ;15090;BERBEO;BARRIDO;3;269;334;80,54%;SI;;;
68;SANTANDER;68344;HATO;BARRIDO;2;660;819;80,59%;SI;;;
15;BOYACÁ;15533;PAYA;BARRIDO;3;200;248;80,65%;SI;;;
05;ANTIOQUIA;5895;ZARAGOZA;BARRIDO;2;272;337;80,71%;SI;;;
05;ANTIOQUIA;5368;JERICÓ;BARRIDO;2;1657;2051;80,79%;SI;;;
73;TOLIMA;73563;PRADO;BARRIDO;3;526;651;80,80%;SI;;;
05;ANTIOQUIA;5310;GÓMEZ PLATA;BARRIDO;2;1368;1693;80,80%;SI;;;
15;BOYACÁ;15248;EL ESPINO;BARRIDO;3;464;574;80,84%;SI;;;
66;RISARALDA;66572;PUEBLO RICO;MIXTO;3;823;1017;80,92%;SI;;;
05;ANTIOQUIA;5250;EL BAGRE;BARRIDO;2;1989;2453;81,08%;SI;;;
15;BOYACÁ;15087;BELÉN;BARRIDO;3;1313;1619;81,10%;SI;;;
73;TOLIMA;73200;COELLO;BARRIDO;3;743;914;81,29%;SI;;;
68;SANTANDER;68176;CHIMA;BARRIDO;2;631;776;81,31%;SI;;;
54;NORTE DE SANTANDER;54418;LOURDES;BARRIDO;2;627;771;81,32%;SI;;;
68;SANTANDER;68121;CABRERA;BARRIDO;2;223;274;81,39%;SI;;;
73;TOLIMA;73873;VILLARRICA;BARRIDO;3;390;479;81,42%;SI;;;
25;CUNDINAMARCA;25258;EL PEÑÓN;BARRIDO;2;412;506;81,42%;SI;;;
41;HUILA;41016;AIPE;BARRIDO;3;900;1105;81,45%;SI;;;
15;BOYACÁ;15051;ARCABUCO;BARRIDO;3;669;820;81,59%;SI;;;
25;CUNDINAMARCA;25781;SUTATAUSA;BARRIDO;2;523;641;81,59%;SI;;;
68;SANTANDER;68432;MÁLAGA;BARRIDO;2;1937;2372;81,66%;SI;;;
41;HUILA;41668;SAN AGUSTÍN;BARRIDO;3;1668;2042;81,68%;SI;;;
41;HUILA;41006;ACEVEDO;BARRIDO;3;980;1196;81,94%;SI;;;
18;CAQUETÁ;18094;BELÉN DE LOS ANDAQUÍES;BARRIDO;3;903;1102;81,94%;SI;;;
