OBJECTID	MpCodigo	MpNombre	MpArea	MpNorma	MpCategor	altitud	Cod_Depto	Codigo	x	y	ORIG_FID
476	25781	Sutatausa	64.78062252		1	2600	25	25781	4905246.233	2137398.355	476
477	27361	Istmina	1881.081651		1	47	27	27361	4570764.497	2082929.442	477
478	73283	Fresno	219.5567268		1	1478	73	73283	4772603.348	2131490.209	478
479	25513	Pacho	402.147406		1	1791	25	25513	4871112.217	2129214.243	479
480	25224	Cucunubá	109.6818382		1	2590	25	25224	4913594.124	2135994.014	480
481	15090	Berbeo	57.90361948	Ordenanza No. 28 de 1913	1	1525	15	15090	4988792.941	2136134.61	481
482	15842	Úmbita	145.8445027		1	2500	15	15842	4948669	2134515.412	482
483	15660	San Eduardo	109.2594608	Ordenanza No. 13 de 1965	1	1950	15	15660	4994556.663	2136416.41	483
484	17433	Manzanares	197.8045156		1	2075	17	17433	4761496.941	2136641.535	484
485	73443	Mariquita	293.1157611		1	496	73	73443	4788760.422	2136815.219	485
486	73349	Honda	304.7121928		1	206	73	73349	4802446.874	2130595.209	486
487	25258	El Peñón	133.9440904	Ordenanza No. 14 de 1903	1	1200	25	25258	4855073.167	2139563.865	487
488	25871	Villagómez	62.89506278	Ordenanza No. 2 de 1965	1	1700	25	25871	4868100.071	2140528.779	488
489	17444	Marquetalia	90.2774403	Ordenanza No. 32 de 1924	1	1275	17	17444	4773878.616	2145024.171	489
490	17050	Aranzazu	149.5295747		1	1908	17	17050	4725892.933	2140376.927	490
491	25873	Villapinzón	225.8039251		1	2724	25	25873	4936055.666	2135637.12	491
492	15835	Turmequé	79.57757658		1	2450	15	15835	4943614.23	2144293.684	492
493	15804	Tibaná	121.6262064		1	2085	15	15804	4956443.888	2143778.257	493
494	85010	Aguazul	1439.26519		1	278	85	85010	5050055.067	2124444.811	494
495	15897	Zetaquirá	251.0417406		1	1661	15	15897	4981432.306	2142056.498	495
496	25843	Ubaté	102.1117711		1	2559	25	25843	4909165.914	2145479.159	496
497	85015	Chámeza	309.1633826	Ordenanza No. 21 de 1959	1	1100	85	85015	5014833.105	2135823.276	497
498	25407	Lenguazaque	155.3960109		1	2600	25	25407	4924513.225	2144084.449	498
499	99624	Santa Rosalía	3678.989919	Ordenanza No. 19 de 1993	1	125	99	99624	5259391.006	2107479.77	499
500	17446	Marulanda	376.7872665		1	2825	17	17446	4747028.266	2136982.881	500
501	17272	Filadelfia	192.5602999		1	1575	17	17272	4713056.247	2142662.907	501
502	85279	Recetor	180.8458734		1	750	85	85279	5025385.238	2139564.703	502
503	66318	Guática	100.8089964		1	2150	66	66318	4689281.005	2146589.105	503
504	27430	Medio Baudó	1372.942995	Ordenanza No. 003 de 1999	1	50	27	27430	4556925.342	2124066.35	504
505	66594	Quinchía	140.1377789		1	1800	66	66594	4699370.982	2146942.097	505
506	15494	Nuevo Colón	51.31156965		1	2450	15	15494	4950302.864	2149703.395	506
